hh_id,person_id,is_head_of_household,married,gender,race,age,voted_in_2012,is_college_graduate
71,146,1,"Single","Female","White",34,1,1
71,147,0,"Single","Male","White",27,1,1
71,148,0,"Single","Male","White",3,0,0
71,149,0,"Single","Female","White",5,0,0
72,150,1,"Married","Female","Asian",29,0,1
72,151,0,"Married","Male","White",30,0,1
73,152,1,"Single","Male","White",29,1,1
74,153,1,"Single","Male","White",32,1,1
74,154,0,"Single","FEMALE","White",3,0,1
74,155,0,"Single","F","White",4,0,1
75,156,1,"Single","FEMALE","White",34,1,1
75,157,0,"Single","Male","Asian",31,1,0
76,158,1,"Single","Male","White",31,0,1
77,159,1,"Single","Female","White",31,1,1
77,160,0,"Single","Male","Asian",32,1,1
77,161,0,"Single","Female","White",3,0,1
78,162,1,"Single","F","White",30,0,1
78,163,0,"Single","Male","White",30,0,1
78,164,0,"Single","Male","White",7,0,1
79,165,1,"Married","Female","Asian",31,1,0
79,166,0,"Married","Male","White",30,0,0
79,167,0,"Single","Male","Asian",4,0,1
80,168,1,"Single","Male","Asian",25,1,1
81,169,1,"Married","Female","White",34,0,1
81,170,0,"Married","Male","White",34,0,1
81,171,0,"Single","Female","White",6,0,1
82,172,1,"Single","Female","Black",32,1,1
82,173,0,"Single","Male","Asian",32,0,1
83,174,1,"Single","Female","White",34,1,0
83,175,0,"Single","Male","White",27,1,0
84,176,1,"Single","Female","White",28,1,1
84,177,0,"Single","Male","White",26,1,1
84,178,0,"Single","Male","White",4,0,0
85,179,1,"Single","Female","White",30,0,0
85,180,0,"Single","Male","White",32,0,1
85,181,0,"Single","Female","White",4,0,0
86,182,1,"Married","F","White",34,0,1
86,183,0,"Married","Male","White",32,1,1
87,184,1,"Single","F","White",32,1,1
87,185,0,"Single","Male","White",32,1,1
87,186,0,"Single","MALE","White",4,0,1
88,187,1,"Single","Female","White",30,1,0
88,188,0,"Single","Male","White",32,0,0
89,189,1,"Single","Female","White",34,0,0
89,190,0,"Single","Male","White",33,1,1
89,191,0,"Single","MALE","White",6,0,1
90,192,1,"Married","Female","White",31,0,0
90,193,0,"Married","Male","Asian",31,1,1
90,194,0,"Single","FEMALE","White",5,0,1
90,195,0,"Single","Female","White",2,0,1
91,196,1,"Single","Male","White",34,1,1
92,197,1,"Single","Female","White",31,1,1
92,198,0,"Single","Male","White",31,1,1
92,199,0,"Single","Female","White",5,0,1
93,200,1,"Single","Female","White",32,1,1
93,201,0,"Single","Male","White",31,1,1
94,202,1,"Married","Female","Asian",30,1,1
94,203,0,"Married","Male","White",30,0,1
95,204,1,"Married","FEMALE","White",27,1,0
95,205,0,"Married","Male","White",29,0,0
95,206,0,"Single","Female","White",2,0,1
95,207,0,"Single","Male","White",4,0,1
96,208,1,"Single","Female","White",31,1,1
96,209,0,"Single","Female","White",5,0,0
97,210,1,"Single","Male","White",34,0,1
98,211,1,"Single","Male","White",32,0,1
99,212,1,"Single","Female","Asian",25,1,1
99,213,0,"Single","Male","White",30,1,0
100,214,1,"Single","Female","White",33,0,1
100,215,0,"Single","Male","White",28,1,1
101,216,1,"Single","Male","Asian",34,0,0
102,217,1,"Single","Female","Asian",30,1,1
102,218,0,"Single","Male","White",31,1,0
102,219,0,"Single","Male","Asian",5,0,0
103,220,1,"Married","Female","White",33,1,1
103,221,0,"Married","Male","White",31,0,1
103,222,0,"Single","Female","White",7,0,1
104,223,1,"Single","Female","White",28,1,0
104,224,0,"Single","Male","Black",34,0,1
104,225,0,"Single","Female","White",3,0,0
104,226,0,"Single","Female","White",4,0,0
105,227,1,"Single","Male","White",25,1,0
106,228,1,"Married","Female","Asian",30,1,1
106,229,0,"Married","Male","White",30,0,0
106,230,0,"Single","Male","Asian",5,0,1
107,231,1,"Single","Female","Asian",25,0,0
108,232,1,"Single","Female","White",31,1,1
108,233,0,"Single","Male","White",32,0,1
108,234,0,"Single","Female","White",4,0,1
109,235,1,"Married","Female","Black",27,0,1
109,236,0,"Married","Male","White",25,1,1
110,237,1,"Single","Male","White",33,0,0
111,238,1,"Single","Female","White",31,1,1
111,239,0,"Single","Male","White",30,0,0
111,240,0,"Single","Female","White",5,0,1
112,241,1,"Single","Male","White",29,1,0
113,242,1,"Single","Female","White",30,0,0
113,243,0,"Single","Male","Asian",33,0,0
113,244,0,"Single","F","White",5,0,1
114,245,1,"Single","Female","Asian",33,1,0
114,246,0,"Single","Male","White",34,0,0
115,247,1,"Single","Female","White",30,1,1
115,248,0,"Single","Male","White",32,0,1
116,249,1,"Single","Female","White",30,0,1
116,250,0,"Single","Male","White",28,1,0
116,251,0,"Single","Female","White",3,0,1
116,252,0,"Single","Female","White",2,0,1
117,253,1,"Married","F","White",31,0,1
117,254,0,"Married","Male","White",25,1,0
118,255,1,"Single","Male","White",31,1,0
119,256,1,"Single","Female","White",27,1,1
119,257,0,"Single","Male","White",26,1,1
119,258,0,"Single","F","White",2,0,1
120,259,1,"Single","Female","White",28,1,0
120,260,0,"Single","Male","White",28,1,0
121,261,1,"Single","Female","Asian",33,1,0
121,262,0,"Single","M","White",29,1,1
122,263,1,"Single","Female","White",33,1,1
122,264,0,"Single","Male","Black",27,1,0
123,265,1,"Married","Female","White",34,0,1
123,266,0,"Married","Male","Black",31,0,1
123,267,0,"Single","Female","White",6,0,0
124,268,1,"Single","Female","White",28,1,1
124,269,0,"Single","Male","White",30,0,1
125,270,1,"Married","Female","White",33,0,1
125,271,0,"Married","Male","White",26,0,1
125,272,0,"Single","Male","White",2,0,1
125,273,0,"Single","Female","White",2,0,1
126,274,1,"Single","Female","White",32,1,1
126,275,0,"Single","Male","Asian",27,1,0
127,276,1,"Single","Female","Asian",29,1,1
127,277,0,"Single","Male","White",32,0,1
128,278,1,"Single","Female","Black",33,1,0
128,279,0,"Single","Male","White",31,0,1
129,280,1,"Single","Female","White",34,1,1
129,281,0,"Single","Male","Black",31,0,1
129,282,0,"Single","Male","White",7,0,0
129,283,0,"Single","Male","White",6,0,0
130,284,1,"Single","Female","White",33,1,1
130,285,0,"Single","Male","White",29,0,1
131,286,1,"Single","Female","White",34,0,1
132,287,1,"Single","Male","Black",26,0,0
133,288,1,"Married","Female","White",30,1,0
133,289,0,"Married","MALE","White",31,1,0
134,290,1,"Single","Male","White",34,0,0
134,291,0,"Single","Female","White",5,0,1
135,292,1,"Married","Female","White",33,0,0
135,293,0,"Married","Male","White",33,0,1
136,294,1,"Single","Female","White",32,0,1
136,295,0,"Single","Male","White",27,0,0
136,296,0,"Single","Male","White",7,0,0
136,297,0,"Single","Male","White",4,0,0
137,298,1,"Married","Female","White",29,1,0
137,299,0,"Married","Male","White",32,0,1
137,300,0,"Single","Female","White",2,0,1
138,301,1,"Married","FEMALE","White",30,1,1
138,302,0,"Married","Male","White",31,1,0
138,303,0,"Single","Male","White",5,0,0
139,304,1,"Married","Female","Asian",34,0,1
139,305,0,"Married","Male","Asian",34,0,1
140,306,1,"Single","Female","Asian",29,1,1
140,307,0,"Single","F","Asian",4,0,1
141,308,1,"Married","Female","White",29,0,1
141,309,0,"Married","Male","White",33,0,1
142,310,1,"Married","F","White",33,0,1
142,311,0,"Married","Male","White",34,0,0
143,312,1,"Married","Female","White",30,0,0
143,313,0,"Married","Male","White",29,0,1
143,314,0,"Single","Female","White",3,0,0
144,315,1,"Married","Female","White",30,1,0
144,316,0,"Married","MALE","White",33,0,1
145,317,1,"Married","Female","Black",33,1,1
145,318,0,"Married","Male","White",34,0,0
146,319,1,"Single","Female","White",31,1,1
147,320,1,"Single","F","Asian",31,1,0
148,321,1,"Married","Female","White",27,0,0
148,322,0,"Married","Male","White",32,1,1
149,323,1,"Single","Female","Asian",33,1,1
149,324,0,"Single","Male","White",32,1,1
149,325,0,"Single","Female","Asian",2,0,1
150,326,1,"Single","Male","White",28,0,0
151,327,1,"Married","Female","Black",30,0,1
151,328,0,"Married","Male","White",30,1,1
152,329,1,"Single","M","White",31,1,0
153,330,1,"Single","Male","White",33,0,1
154,331,1,"Single","Female","White",33,0,1
154,332,0,"Single","Male","White",31,1,0
155,333,1,"Single","Female","White",33,0,0
155,334,0,"Single","Female","White",6,0,1
156,335,1,"Single","Female","White",33,0,0
156,336,0,"Single","Male","Black",31,1,1
157,337,1,"Single","Male","Asian",27,1,1
158,338,1,"Single","Female","Black",33,1,0
158,339,0,"Single","Male","Asian",30,0,0
158,340,0,"Single","Female","Black",4,0,1
159,341,1,"Single","MALE","White",32,1,0
160,342,1,"Married","F","White",33,0,0
160,343,0,"Married","Male","Asian",34,0,0
161,344,1,"Single","Male","Black",28,0,0
162,345,1,"Single","Female","White",33,1,0
163,346,1,"Married","FEMALE","White",26,1,0
163,347,0,"Married","M","White",34,0,1
164,348,1,"Single","F","White",34,1,1
164,349,0,"Single","Female","White",4,0,1
164,350,0,"Single","Male","White",3,0,0
165,351,1,"Single","Female","White",34,0,0
165,352,0,"Single","Male","Asian",31,1,0
166,353,1,"Married","Female","White",25,0,1
166,354,0,"Married","Male","White",29,1,1
166,355,0,"Single","Male","White",4,0,1
167,356,1,"Single","Male","White",25,1,1
168,357,1,"Married","F","White",33,1,1
168,358,0,"Married","Male","Black",25,0,0
169,359,1,"Married","Female","White",26,0,1
169,360,0,"Married","Male","Asian",34,1,0
170,361,1,"Single","Female","White",32,0,1
170,362,0,"Single","Male","Asian",33,1,0
170,363,0,"Single","Female","White",3,0,0
171,364,1,"Single","FEMALE","White",31,1,0
171,365,0,"Single","Male","White",30,0,1
172,366,1,"Single","Male","Asian",33,0,0
173,367,1,"Single","Female","White",33,0,1
173,368,0,"Single","Male","White",33,1,1
173,369,0,"Single","Male","White",7,0,1
174,370,1,"Single","F","White",28,0,1
174,371,0,"Single","Male","Asian",34,0,1
175,372,1,"Single","Female","White",30,1,0
175,373,0,"Single","Male","White",26,1,0
176,374,1,"Single","FEMALE","White",30,1,1
176,375,0,"Single","Male","White",30,0,1
176,376,0,"Single","Female","White",4,0,1
177,377,1,"Single","Female","White",33,1,0
177,378,0,"Single","Male","White",34,1,1
177,379,0,"Single","Male","White",4,0,1
178,380,1,"Married","Female","Black",31,0,1
178,381,0,"Married","Male","White",28,0,0
178,382,0,"Single","FEMALE","Black",6,0,1
179,383,1,"Single","Female","White",29,0,1
179,384,0,"Single","Male","Asian",34,0,1
180,385,1,"Married","Female","White",34,0,1
180,386,0,"Married","Male","White",30,1,1
180,387,0,"Single","FEMALE","White",7,0,0
181,388,1,"Single","Male","White",34,1,1
182,389,1,"Single","Female","White",30,0,1
182,390,0,"Single","Male","Asian",26,1,0
182,391,0,"Single","Female","White",2,0,1
183,392,1,"Married","Female","White",33,1,1
183,393,0,"Married","Male","Asian",27,1,1
183,394,0,"Single","Female","White",3,0,1
183,395,0,"Single","Female","White",6,0,0
184,396,1,"Single","Female","Asian",30,0,1
184,397,0,"Single","Male","White",26,0,1
184,398,0,"Single","Male","Asian",6,0,1
185,399,1,"Single","Male","Asian",29,0,1
186,400,1,"Single","Female","Asian",30,0,1
186,401,0,"Single","Male","White",28,0,1
186,402,0,"Single","Male","Asian",2,0,1
187,403,1,"Married","Female","White",33,0,0
187,404,0,"Married","Male","White",34,0,1
187,405,0,"Single","Male","White",5,0,1
188,406,1,"Single","Female","Black",31,1,1
188,407,0,"Single","Male","White",34,0,1
189,408,1,"Single","F","White",34,1,1
189,409,0,"Single","Male","Asian",34,1,0
189,410,0,"Single","Male","White",3,0,0
190,411,1,"Single","Female","White",31,0,0
191,412,1,"Single","Male","White",32,1,1
192,413,1,"Single","Female","White",30,1,1
192,414,0,"Single","Female","White",6,0,0
193,415,1,"Married","FEMALE","White",34,0,1
193,416,0,"Married","Male","Asian",30,1,0
193,417,0,"Single","Male","White",3,0,1
193,418,0,"Single","Female","White",7,0,1
194,419,1,"Married","Female","White",32,1,1
194,420,0,"Married","Male","White",30,0,0
195,421,1,"Single","Female","White",29,0,1
195,422,0,"Single","Male","Asian",34,1,1
195,423,0,"Single","Male","White",7,0,1
196,424,1,"Single","Female","Black",33,1,0
196,425,0,"Single","Male","White",33,0,1
197,426,1,"Married","Female","White",27,1,1
197,427,0,"Married","Male","Asian",28,0,1
198,428,1,"Single","Female","White",25,0,1
198,429,0,"Single","Male","Black",33,0,1
199,430,1,"Single","Female","White",30,1,1
199,431,0,"Single","Male","Asian",33,0,1
199,432,0,"Single","Female","White",5,0,1
199,433,0,"Single","Male","White",3,0,1
200,434,1,"Married","Female","White",29,1,1
200,435,0,"Married","Male","White",32,1,1
201,436,1,"Single","Male","Asian",34,0,0
202,437,1,"Single","Female","White",28,1,0
202,438,0,"Single","Male","Asian",29,0,1
202,439,0,"Single","Male","White",7,0,1
203,440,1,"Single","MALE","White",30,1,1
204,441,1,"Single","Female","White",31,1,1
204,442,0,"Single","M","White",28,1,1
204,443,0,"Single","Female","White",5,0,1
204,444,0,"Single","Male","White",4,0,1
205,445,1,"Single","Female","White",30,1,1
205,446,0,"Single","Male","White",6,0,1
205,447,0,"Single","F","White",5,0,1
206,448,1,"Married","Female","Black",27,0,1
206,449,0,"Married","Male","White",33,0,0
207,450,1,"Single","F","White",33,1,0
207,451,0,"Single","Male","Black",33,1,1
208,452,1,"Single","Female","Asian",31,0,1
208,453,0,"Single","M","Black",32,0,1
209,454,1,"Single","Female","White",25,1,1
209,455,0,"Single","Male","White",32,1,1
210,456,1,"Married","Female","Black",26,1,1
210,457,0,"Married","Male","White",25,0,1
210,458,0,"Single","Male","Black",2,0,1
211,459,1,"Single","F","White",32,1,1
212,460,1,"Married","Female","White",27,0,1
212,461,0,"Married","Male","Asian",34,1,1
213,462,1,"Single","Female","White",32,1,1
213,463,0,"Single","Male","White",32,0,1
214,464,1,"Single","Female","White",33,1,0
214,465,0,"Single","Male","Black",28,1,0
215,466,1,"Single","Male","White",32,1,1
216,467,1,"Married","FEMALE","White",25,1,0
216,468,0,"Married","Male","White",31,1,1
216,469,0,"Single","M","White",4,0,1
217,470,1,"Single","Male","Black",31,1,1
218,471,1,"Single","Female","White",32,0,1
218,472,0,"Single","Male","Asian",27,0,1
219,473,1,"Single","Male","White",34,1,1
220,474,1,"Single","Female","White",30,0,1
220,475,0,"Single","Male","White",31,1,1
221,476,1,"Single","Female","White",31,1,1
221,477,0,"Single","Male","White",31,0,1
221,478,0,"Single","Female","White",6,0,1
221,479,0,"Single","MALE","White",2,0,1
222,480,1,"Single","Male","Asian",34,1,1
223,481,1,"Single","Male","White",26,0,1
223,482,0,"Single","Male","White",3,0,0
223,483,0,"Single","FEMALE","White",5,0,1
224,484,1,"Single","Female","White",29,0,1
224,485,0,"Single","Male","White",32,0,0
224,486,0,"Single","Female","White",6,0,1
224,487,0,"Single","Female","White",5,0,0
225,488,1,"Single","Female","Asian",31,0,1
225,489,0,"Single","Male","White",28,1,1
226,490,1,"Single","Female","White",32,1,0
226,491,0,"Single","Male","Asian",30,0,1
226,492,0,"Single","M","White",4,0,1
226,493,0,"Single","Male","White",3,0,1
227,494,1,"Married","Female","Asian",32,0,1
227,495,0,"Married","Male","White",32,1,1
228,496,1,"Single","Female","White",31,0,1
228,497,0,"Single","Male","Asian",29,0,0
228,498,0,"Single","Female","White",3,0,1
229,499,1,"Single","Female","White",30,1,1
229,500,0,"Single","Male","Asian",27,1,0
229,501,0,"Single","Female","White",3,0,1
230,502,1,"Married","FEMALE","Asian",29,0,1
230,503,0,"Married","Male","White",31,1,1
231,504,1,"Single","Male","Asian",27,0,0
232,505,1,"Married","Female","White",31,0,0
232,506,0,"Married","Male","White",29,1,1
233,507,1,"Single","Female","Black",27,0,1
233,508,0,"Single","Male","White",33,0,1
233,509,0,"Single","Male","Black",4,0,1
234,510,1,"Married","Female","White",34,0,0
234,511,0,"Married","Male","White",28,1,1
235,512,1,"Single","M","White",30,1,0
236,513,1,"Single","Male","White",29,0,1
237,514,1,"Single","Male","White",28,0,1
238,515,1,"Single","Male","White",34,0,0
239,516,1,"Single","Male","White",28,0,1
240,517,1,"Single","Female","White",33,1,1
240,518,0,"Single","Male","White",32,0,1
240,519,0,"Single","Female","White",4,0,1
241,520,1,"Married","Female","White",30,1,0
241,521,0,"Married","Male","White",27,0,1
241,522,0,"Single","Female","White",3,0,1
241,523,0,"Single","Male","White",4,0,1
242,524,1,"Single","Female","Asian",30,1,0
242,525,0,"Single","Male","Asian",5,0,1
243,526,1,"Single","Female","Black",31,1,1
244,527,1,"Single","Female","Asian",32,0,0
245,528,1,"Single","Female","White",31,0,1
245,529,0,"Single","Male","White",30,1,0
245,530,0,"Single","Female","White",2,0,1
245,531,0,"Single","Female","White",7,0,0
246,532,1,"Single","Male","Asian",30,0,0
247,533,1,"Married","Female","White",30,1,0
247,534,0,"Married","Male","White",33,1,1
248,535,1,"Single","Male","Black",30,0,0
249,536,1,"Single","Female","White",32,1,1
249,537,0,"Single","F","White",3,0,1
250,538,1,"Married","Female","Asian",26,1,0
250,539,0,"Married","Male","White",32,1,1
251,540,1,"Single","Female","White",29,1,0
252,541,1,"Single","Female","White",33,1,1
253,542,1,"Married","Female","Asian",31,1,1
253,543,0,"Married","MALE","White",32,1,1
254,544,1,"Single","Female","White",31,1,1
254,545,0,"Single","Male","White",25,1,0
255,546,1,"Single","Female","White",34,1,1
255,547,0,"Single","Male","White",31,1,1
255,548,0,"Single","Female","White",2,0,1
256,549,1,"Single","Female","Black",31,0,1
256,550,0,"Single","Male","White",32,0,1
257,551,1,"Married","Female","White",30,0,1
257,552,0,"Married","MALE","White",31,0,1
258,553,1,"Single","Female","White",26,0,1
258,554,0,"Single","Male","White",32,0,0
258,555,0,"Single","FEMALE","White",5,0,0
259,556,1,"Single","MALE","White",32,1,1
260,557,1,"Single","Female","White",34,1,0
260,558,0,"Single","Male","Asian",26,0,1
261,559,1,"Single","Male","Asian",30,1,1
262,560,1,"Married","Female","White",34,0,1
262,561,0,"Married","Male","Asian",32,1,1
262,562,0,"Single","Male","White",5,0,1
263,563,1,"Single","Female","Asian",34,1,1
263,564,0,"Single","Male","Asian",34,1,0
264,565,1,"Single","F","Black",30,0,0
264,566,0,"Single","Male","Black",33,0,1
265,567,1,"Single","F","White",33,1,0
265,568,0,"Single","Male","White",34,1,0
265,569,0,"Single","Female","White",3,0,0
265,570,0,"Single","Female","White",3,0,1
266,571,1,"Single","Female","Asian",34,1,0
266,572,0,"Single","Male","Asian",32,0,1
267,573,1,"Single","MALE","White",34,0,1
268,574,1,"Single","Male","White",30,0,0
269,575,1,"Single","Female","White",29,1,1
269,576,0,"Single","Male","White",32,1,1
270,577,1,"Single","Male","White",34,0,1
271,578,1,"Single","Female","Asian",29,0,1
272,579,1,"Single","Female","White",34,1,1
272,580,0,"Single","Male","White",31,0,0
273,581,1,"Single","Male","Asian",31,0,0
274,582,1,"Single","Female","Asian",34,0,1
274,583,0,"Single","Male","White",30,1,1
275,584,1,"Single","Male","Asian",30,0,1
276,585,1,"Single","Female","White",31,1,0
276,586,0,"Single","Male","White",27,1,1
277,587,1,"Married","Female","White",30,1,0
277,588,0,"Married","Male","White",33,0,0
277,589,0,"Single","Male","White",2,0,1
277,590,0,"Single","FEMALE","White",7,0,1
278,591,1,"Married","Female","White",25,0,0
278,592,0,"Married","Male","White",34,0,1
278,593,0,"Single","Male","White",4,0,0
279,594,1,"Married","F","Asian",33,1,1
279,595,0,"Married","Male","Black",31,1,1
279,596,0,"Single","Male","Asian",2,0,1
279,597,0,"Single","Female","Asian",3,0,1
280,598,1,"Single","Female","White",32,0,1
280,599,0,"Single","Male","White",30,0,1
281,600,1,"Married","Female","Asian",30,1,1
281,601,0,"Married","Male","White",29,0,1
281,602,0,"Single","Female","Asian",3,0,0
282,603,1,"Single","Male","White",30,1,0
283,604,1,"Single","Male","White",31,1,1
284,605,1,"Single","Male","White",31,1,1
285,606,1,"Single","Female","Asian",26,1,1
286,607,1,"Single","Female","White",30,0,1
286,608,0,"Single","Male","White",30,0,0
287,609,1,"Single","Female","White",26,1,1
287,610,0,"Single","Male","White",28,1,1
287,611,0,"Single","Female","White",3,0,1
288,612,1,"Single","FEMALE","White",32,1,1
289,613,1,"Single","FEMALE","Asian",30,0,0
289,614,0,"Single","Male","Black",31,1,1
290,615,1,"Single","Female","Black",25,0,0
290,616,0,"Single","Female","Black",6,0,0
290,617,0,"Single","Male","Black",5,0,1
291,618,1,"Married","Female","White",33,0,1
291,619,0,"Married","Male","White",31,0,0
292,620,1,"Single","Female","White",34,0,1
292,621,0,"Single","Male","White",30,1,1
293,622,1,"Single","Male","White",30,0,1
294,623,1,"Married","Female","White",33,1,0
294,624,0,"Married","Male","White",33,1,1
294,625,0,"Single","F","White",5,0,0
295,626,1,"Single","Female","White",33,0,1
295,627,0,"Single","Male","Black",32,0,1
295,628,0,"Single","Female","White",2,0,1
296,629,1,"Single","Male","Asian",34,0,1
296,630,0,"Single","Female","Asian",6,0,1
296,631,0,"Single","Female","Asian",5,0,0
297,632,1,"Single","Female","Black",27,0,1
297,633,0,"Single","Male","White",32,1,0
298,634,1,"Single","Male","Black",30,1,0
299,635,1,"Single","Male","White",30,1,1
300,636,1,"Single","Male","White",26,1,1
301,637,1,"Single","Female","Black",30,1,1
301,638,0,"Single","Male","White",27,1,1
302,639,1,"Single","Female","White",34,1,1
303,640,1,"Single","Female","Asian",34,0,1
303,641,0,"Single","Female","Asian",6,0,1
304,642,1,"Married","Female","Asian",33,0,1
304,643,0,"Married","Male","White",27,0,1
305,644,1,"Single","Female","Asian",31,1,1
305,645,0,"Single","Male","Black",31,1,0
