hh_id,hh_income,is_urban,is_owner_of_home,tercile_of_census_tract_income
215,46100,1,0,"Top"
216,115000,1,1,"Middle"
217,57100,1,0,"Middle"
218,80400,1,0,"Top"
219,45300,1,0,"Middle"
220,93000,1,0,"Top"
221,99400,0,0,"Middle"
222,48600,1,0,"Bottom"
223,55200,1,0,"Top"
224,102200,0,0,"Middle"
225,94800,1,0,"Top"
226,82800,0,0,"Top"
227,92000,0,1,"Top"
228,94600,1,0,"Bottom"
229,71200,1,0,"Top"
230,101000,0,1,"Top"
231,51600,0,0,"Bottom"
232,91400,0,1,"Top"
233,109800,1,0,"Bottom"
234,109400,1,1,"Top"
235,48600,0,0,"Top"
236,53700,1,0,"Middle"
237,44000,1,0,"Middle"
238,42500,0,0,"Top"
239,43600,0,0,"Top"
240,94400,1,0,"Top"
241,90600,1,1,"Top"
242,52600,0,0,"Bottom"
243,52500,0,0,"Top"
244,48700,1,0,"Top"
245,104000,1,0,"Top"
246,52000,0,0,"Top"
247,105000,1,1,"Top"
248,39800,1,0,"Top"
249,44600,0,0,"Top"
250,109400,1,1,"Top"
251,48500,1,0,"Top"
252,44300,0,0,"Top"
253,106400,0,1,"Top"
254,96400,0,0,"Top"
255,100800,1,0,"Top"
256,97400,0,0,"Bottom"
257,71800,1,1,"Top"
258,104800,1,0,"Top"
259,55700,1,0,"Middle"
260,108400,1,0,"Bottom"
261,46700,1,0,"Top"
262,111400,0,1,"Top"
263,93400,0,0,"Top"
264,94800,0,0,"Top"
265,106800,0,0,"Top"
266,93000,1,0,"Top"
267,57200,1,0,"Middle"
268,51300,1,0,"Top"
269,80800,0,0,"Top"
270,55300,1,0,"Bottom"
271,49200,1,0,"Top"
272,92000,0,0,"Bottom"
273,55400,0,0,"Bottom"
274,106600,0,0,"Middle"
275,48600,0,0,"Top"
276,79000,1,0,"Top"
277,100800,1,1,"Middle"
278,103600,1,1,"Bottom"
279,117800,1,1,"Top"
280,87200,1,0,"Middle"
281,106400,0,1,"Top"
282,52600,0,0,"Top"
283,65800,1,0,"Middle"
284,50900,0,0,"Middle"
285,52400,0,0,"Middle"
286,93400,0,0,"Bottom"
287,80800,1,0,"Bottom"
288,51700,1,0,"Bottom"
289,101000,1,0,"Bottom"
290,48600,0,0,"Top"
291,119400,1,1,"Middle"
292,96000,0,0,"Middle"
293,47600,1,0,"Top"
294,111400,1,1,"Top"
295,108600,0,0,"Middle"
296,49300,1,0,"Top"
297,96000,1,0,"Middle"
298,52200,0,0,"Bottom"
299,55800,0,0,"Bottom"
300,52600,1,0,"Top"
301,105000,1,0,"Middle"
302,56900,1,0,"Top"
303,44900,1,0,"Top"
304,111200,0,1,"Top"
305,106200,0,0,"Top"
306,56000,0,0,"Middle"
307,107200,1,0,"Top"
308,95800,0,0,"Middle"
309,90000,1,1,"Middle"
310,91400,1,0,"Top"
311,50200,1,0,"Middle"
312,87600,0,1,"Top"
313,110200,0,0,"Top"
314,52400,1,0,"Top"
315,81200,1,1,"Middle"
316,108600,1,0,"Bottom"
317,49200,1,0,"Top"
318,125600,1,0,"Bottom"
319,45900,1,0,"Middle"
320,58100,1,0,"Middle"
321,58600,1,0,"Top"
322,96600,1,1,"Top"
323,110400,0,1,"Bottom"
324,96800,0,1,"Top"
325,52600,1,0,"Top"
326,94000,1,1,"Middle"
327,94800,0,0,"Top"
328,110400,1,0,"Top"
329,85800,0,1,"Top"
330,106400,1,0,"Middle"
331,100200,0,1,"Top"
332,51400,1,0,"Top"
333,64400,0,0,"Top"
334,57800,1,0,"Bottom"
335,95600,1,0,"Top"
336,117600,1,0,"Bottom"
337,113600,1,0,"Top"
338,102600,0,1,"Bottom"
339,77600,0,1,"Top"
340,45100,1,0,"Top"
341,113000,1,0,"Top"
342,101200,1,1,"Top"
343,114200,1,1,"Top"
344,54100,1,0,"Middle"
345,108000,1,1,"Top"
346,54500,1,0,"Top"
347,48700,1,0,"Top"
348,106200,0,1,"Top"
349,43900,0,0,"Top"
350,101800,1,0,"Middle"
351,49100,1,0,"Top"
352,55200,1,0,"Top"
353,99800,1,0,"Top"
354,50200,1,0,"Bottom"
355,99600,1,1,"Bottom"
356,101400,0,0,"Top"
357,97600,1,0,"Top"
358,50700,1,0,"Top"
359,105800,1,1,"Bottom"
360,43200,0,0,"Bottom"
361,43900,0,0,"Middle"
362,70400,1,0,"Top"
363,99600,0,1,"Top"
364,94200,0,1,"Bottom"
365,100400,1,0,"Top"
366,111600,1,1,"Bottom"
367,104800,0,0,"Top"
368,51400,1,0,"Top"
369,56200,0,0,"Top"
370,43800,0,0,"Middle"
371,53200,1,0,"Top"
372,95000,0,0,"Top"
373,113400,0,0,"Middle"
374,52700,1,0,"Top"
375,99400,1,1,"Top"
376,91800,0,0,"Top"
377,108800,1,1,"Top"
378,49900,0,0,"Top"
379,41800,1,0,"Bottom"
380,99000,0,1,"Top"
381,105400,0,1,"Middle"
382,50500,1,0,"Middle"
383,53900,1,0,"Bottom"
384,86800,1,0,"Top"
385,97400,1,1,"Top"
386,44600,1,0,"Middle"
387,51000,1,0,"Top"
388,44900,1,0,"Top"
389,46300,1,0,"Top"
390,83800,1,1,"Top"
391,60400,1,0,"Top"
392,45200,1,0,"Top"
393,95600,1,0,"Bottom"
394,46200,1,0,"Top"
395,49900,1,0,"Middle"
396,51600,0,0,"Top"
397,48200,1,0,"Top"
398,112000,1,1,"Top"
399,105000,1,0,"Top"
400,44900,0,0,"Top"
401,95400,1,1,"Top"
402,99400,0,1,"Top"
403,99200,1,1,"Top"
404,96800,1,0,"Top"
405,119600,1,1,"Top"
406,88200,0,0,"Top"
407,90000,1,1,"Top"
408,50100,1,0,"Top"
409,96600,0,1,"Top"
410,82800,1,0,"Top"
411,107400,1,0,"Top"
412,54300,1,0,"Top"
413,48400,0,0,"Top"
414,48100,0,0,"Top"
415,99000,0,0,"Bottom"
416,93800,1,0,"Top"
417,107000,1,0,"Top"
418,91200,1,1,"Top"
419,52700,1,0,"Top"
420,46000,1,0,"Top"
421,114400,0,0,"Bottom"
422,113000,1,0,"Top"
423,107200,1,1,"Top"
424,96000,0,1,"Top"
425,99600,1,0,"Top"
426,75000,1,1,"Top"
427,106800,0,0,"Top"
428,95600,0,0,"Top"
429,105400,0,0,"Middle"
430,50500,0,0,"Top"
431,87600,1,0,"Top"
432,103600,1,1,"Top"
433,40100,0,0,"Top"
434,54500,1,0,"Top"
435,96600,1,0,"Middle"
436,45100,0,0,"Bottom"
437,45200,1,0,"Top"
438,93400,0,0,"Bottom"
439,102200,0,0,"Bottom"
440,86000,0,1,"Top"
441,97200,0,1,"Middle"
442,83000,0,0,"Middle"
443,111000,1,1,"Top"
444,107200,0,1,"Top"
445,129000,1,1,"Top"
446,46700,1,0,"Middle"
447,46000,0,0,"Bottom"
448,108400,1,0,"Top"
449,57100,1,0,"Top"
450,43300,1,0,"Top"
451,100600,0,0,"Top"
452,99400,0,0,"Top"
453,110000,1,0,"Top"
454,47300,1,0,"Top"
455,46600,1,0,"Top"
456,55200,1,0,"Top"
457,54800,0,0,"Top"
458,100400,0,0,"Bottom"
459,84800,1,0,"Middle"
460,54700,1,0,"Top"
461,53800,1,0,"Top"
462,100400,1,0,"Top"
463,45500,0,0,"Top"
464,97800,0,0,"Middle"
465,85200,1,0,"Top"
466,102600,1,0,"Top"
467,50500,1,0,"Top"
468,95400,1,0,"Top"
469,82600,1,0,"Bottom"
470,104600,1,1,"Top"
471,78800,1,0,"Middle"
472,48900,0,0,"Bottom"
473,103600,1,1,"Bottom"
474,100200,1,1,"Top"
475,96200,1,1,"Top"
476,53000,1,0,"Bottom"
477,41600,0,0,"Middle"
478,48400,1,0,"Bottom"
479,44900,1,0,"Top"
480,52000,0,0,"Middle"
481,49700,0,0,"Middle"
482,50700,1,0,"Top"
483,86200,0,1,"Middle"
484,51600,1,0,"Middle"
485,41900,0,0,"Bottom"
486,57500,1,0,"Top"
487,42100,1,0,"Top"
488,41800,1,0,"Top"
489,59700,1,0,"Middle"
490,99200,0,0,"Top"
491,90200,1,1,"Top"
492,51100,1,0,"Bottom"
493,105000,0,1,"Middle"
494,92400,0,0,"Bottom"
495,85800,1,0,"Middle"
496,103600,0,0,"Top"
497,51200,1,0,"Middle"
498,99000,1,1,"Middle"
499,44800,0,0,"Top"
500,105600,1,1,"Top"
501,95800,0,0,"Top"
502,103200,1,0,"Top"
503,43500,1,0,"Top"
504,121000,0,0,"Top"
505,51100,0,0,"Top"
506,55000,1,0,"Top"
507,107800,1,1,"Top"
508,84200,0,1,"Middle"
509,90600,0,0,"Top"
510,102200,0,0,"Top"
511,44800,0,0,"Bottom"
512,44300,0,0,"Top"
513,106400,1,0,"Top"
514,94200,1,0,"Bottom"
515,98400,0,0,"Top"
516,89600,0,0,"Top"
517,117400,1,0,"Top"
518,87400,1,0,"Top"
519,102000,1,0,"Bottom"
520,110200,0,0,"Middle"
521,100000,0,1,"Bottom"
522,99200,1,0,"Middle"
523,103400,0,1,"Top"
524,109400,0,0,"Bottom"
525,54600,1,0,"Top"
526,98600,1,1,"Bottom"
527,98800,1,1,"Top"
528,83800,1,0,"Top"
529,49900,0,0,"Top"
530,50400,0,0,"Top"
531,46200,0,0,"Top"
532,100800,1,1,"Top"
533,101800,1,1,"Top"
534,105200,1,1,"Top"
535,92400,0,0,"Bottom"
536,95200,0,1,"Top"
537,49400,0,0,"Bottom"
538,88800,0,0,"Top"
539,54000,1,0,"Top"
540,54500,0,0,"Middle"
541,86400,1,0,"Middle"
542,94800,1,1,"Bottom"
543,83200,1,0,"Middle"
544,91200,0,0,"Bottom"
545,113000,1,0,"Top"
546,95200,0,1,"Top"
547,98800,1,1,"Top"
548,117200,0,0,"Bottom"
549,51300,1,0,"Top"
550,45500,0,0,"Middle"
551,57500,1,0,"Top"
552,45200,0,0,"Middle"
553,51600,1,0,"Top"
554,46200,1,0,"Top"
555,92200,1,1,"Top"
556,117200,1,1,"Top"
557,107000,1,0,"Top"
558,102400,1,1,"Top"
559,101800,1,1,"Middle"
560,47500,1,0,"Top"
561,111800,1,1,"Top"
562,98400,0,0,"Middle"
563,40800,0,0,"Bottom"
564,55500,1,0,"Middle"
565,89600,0,1,"Top"
566,100800,0,0,"Top"
567,50500,0,0,"Middle"
568,55100,0,0,"Top"
569,103600,0,1,"Bottom"
570,41800,1,0,"Bottom"
571,96400,1,1,"Top"
572,94400,1,0,"Middle"
573,99600,0,0,"Top"
574,56000,1,0,"Top"
575,56900,1,0,"Top"
576,47000,0,0,"Middle"
577,49900,1,0,"Top"
578,87600,1,0,"Top"
579,51500,0,0,"Top"
580,92000,1,0,"Top"
581,52700,1,0,"Top"
582,52400,0,0,"Top"
583,97600,0,1,"Bottom"
584,107400,1,0,"Top"
585,108800,0,0,"Middle"
586,50000,1,0,"Bottom"
587,115400,0,0,"Bottom"
588,49500,0,0,"Middle"
589,47400,0,0,"Top"
590,93400,0,0,"Bottom"
591,103200,1,0,"Top"
592,96400,0,0,"Bottom"
593,98600,1,0,"Top"
594,120400,1,1,"Top"
595,95200,0,0,"Bottom"
596,98000,1,1,"Top"
597,105800,1,0,"Top"
598,98000,0,0,"Top"
599,54400,1,0,"Top"
600,49300,1,0,"Middle"
601,45800,0,0,"Top"
602,45200,1,0,"Top"
603,93000,0,1,"Top"
604,95600,0,0,"Top"
605,94400,0,1,"Top"
606,86800,1,0,"Bottom"
607,89000,0,0,"Top"
608,48000,1,0,"Bottom"
609,75400,0,1,"Top"
610,82000,0,0,"Bottom"
611,85800,1,1,"Middle"
612,112600,1,1,"Top"
613,85800,1,1,"Middle"
614,51800,0,0,"Top"
615,51800,1,0,"Top"
616,92200,1,1,"Top"
617,54800,1,0,"Bottom"
618,91000,1,0,"Bottom"
619,111400,1,0,"Top"
620,108800,0,1,"Top"
621,96000,0,0,"Top"
622,52700,1,0,"Bottom"
623,46300,1,0,"Top"
624,104200,1,1,"Top"
625,109600,1,0,"Top"
626,98000,1,1,"Top"
627,81200,0,0,"Middle"
628,95000,0,1,"Bottom"
629,47400,1,0,"Top"
630,104200,1,1,"Middle"
631,51700,1,0,"Top"
632,48600,1,0,"Top"
633,115800,0,1,"Middle"
634,51200,1,0,"Top"
635,107400,0,1,"Middle"
636,53300,0,0,"Middle"
637,56500,0,0,"Top"
638,104400,0,1,"Top"
639,49700,1,0,"Top"
640,100200,1,1,"Top"
641,47100,1,0,"Bottom"
642,114400,1,0,"Bottom"
643,59600,0,0,"Top"
644,100600,1,1,"Top"
645,97600,1,0,"Top"
646,111200,1,0,"Top"
647,112000,0,0,"Top"
648,48900,1,0,"Top"
649,121600,1,0,"Top"
650,47100,1,0,"Top"
651,102600,0,0,"Bottom"
652,111400,1,0,"Top"
653,106600,1,0,"Top"
654,99400,0,1,"Top"
655,101800,1,1,"Top"
656,92800,0,1,"Top"
657,96600,1,1,"Bottom"
658,106000,1,1,"Top"
659,91000,1,0,"Bottom"
660,110400,0,0,"Top"
661,52600,0,0,"Top"
662,109000,1,0,"Top"
663,49700,0,0,"Top"
664,98200,0,0,"Bottom"
665,91400,0,1,"Top"
666,84400,0,0,"Top"
667,50400,0,0,"Top"
668,52600,1,0,"Bottom"
669,53000,1,0,"Top"
670,42600,1,0,"Top"
671,50300,1,0,"Top"
672,111400,1,1,"Middle"
673,89400,1,0,"Top"
674,100200,1,0,"Bottom"
675,127000,1,0,"Top"
676,53800,1,0,"Top"
677,103200,0,0,"Top"
678,45700,1,0,"Top"
679,91000,0,0,"Bottom"
680,83600,0,0,"Top"
681,96400,0,1,"Top"
682,91000,0,1,"Top"
683,101600,1,1,"Top"
684,110400,1,1,"Top"
685,58700,0,0,"Bottom"
686,52000,1,0,"Bottom"
687,99000,1,1,"Top"
688,42400,0,0,"Top"
689,80800,0,0,"Bottom"
690,97200,1,0,"Top"
691,54300,1,0,"Top"
692,105600,0,0,"Top"
693,48300,1,0,"Middle"
694,108400,1,0,"Top"
695,104800,1,1,"Top"
696,50000,1,0,"Top"
697,104800,1,1,"Middle"
698,102600,1,1,"Bottom"
699,57700,1,0,"Top"
700,88200,1,1,"Middle"
701,101200,0,0,"Top"
702,109600,0,1,"Bottom"
703,107200,0,1,"Bottom"
704,45400,0,0,"Top"
705,59900,1,0,"Top"
706,52800,0,0,"Top"
707,106200,0,0,"Bottom"
708,87800,1,0,"Top"
709,106800,0,1,"Top"
710,102400,0,0,"Top"
711,91600,1,0,"Bottom"
712,47000,1,0,"Middle"
713,74600,1,1,"Top"
714,50300,0,0,"Top"
715,43000,1,0,"Top"
716,100000,1,1,"Bottom"
717,100800,1,1,"Top"
718,58400,0,0,"Top"
719,100600,0,1,"Top"
720,80400,0,0,"Top"
721,90400,0,1,"Top"
722,47000,0,0,"Top"
723,41700,1,0,"Top"
724,53900,0,0,"Middle"
725,47300,1,0,"Top"
726,89400,1,1,"Top"
727,110200,0,0,"Middle"
728,55900,0,0,"Bottom"
729,36300,1,0,"Top"
730,99400,1,0,"Top"
731,94000,0,0,"Top"
732,99400,1,0,"Top"
733,52900,1,0,"Middle"
734,112200,1,1,"Bottom"
735,119000,0,1,"Top"
736,103600,1,0,"Bottom"
737,47600,1,0,"Top"
738,48900,0,0,"Middle"
739,50000,1,0,"Middle"
740,42100,1,0,"Top"
741,87000,1,0,"Top"
742,96400,1,1,"Middle"
743,50900,1,0,"Top"
744,106000,1,0,"Top"
745,91400,1,0,"Top"
746,107400,0,0,"Middle"
747,93400,0,1,"Top"
748,101600,0,0,"Top"
749,104600,0,0,"Top"
750,93600,1,1,"Top"
751,52600,0,0,"Top"
752,55200,0,0,"Bottom"
753,84200,0,1,"Middle"
754,109000,1,0,"Top"
755,97200,0,1,"Top"
756,47100,1,0,"Top"
757,122800,1,1,"Top"
758,49600,0,0,"Bottom"
759,92600,0,1,"Top"
760,55800,1,0,"Middle"
761,96800,0,1,"Top"
762,113600,0,0,"Top"
763,85400,1,1,"Middle"
764,100400,1,1,"Top"
765,62400,0,0,"Top"
766,93600,1,0,"Top"
767,108800,1,0,"Top"
768,105200,1,0,"Top"
769,58600,1,0,"Top"
770,95800,1,0,"Top"
771,99000,0,0,"Middle"
772,47600,0,0,"Middle"
773,100600,0,0,"Middle"
774,47500,1,0,"Middle"
775,115000,1,0,"Bottom"
776,106800,1,0,"Top"
777,52000,1,0,"Top"
778,44800,1,0,"Bottom"
779,104600,1,0,"Middle"
780,46200,1,0,"Top"
781,52200,1,0,"Middle"
782,58400,0,0,"Top"
783,102400,1,0,"Bottom"
784,110800,1,1,"Top"
785,105200,1,0,"Top"
786,91800,0,0,"Top"
787,94400,0,0,"Bottom"
788,71400,0,1,"Top"
789,108000,1,1,"Top"
790,49100,1,0,"Top"
791,52900,1,0,"Bottom"
792,43600,0,0,"Top"
793,114200,1,0,"Top"
794,54800,0,0,"Top"
795,99200,0,1,"Bottom"
796,101800,1,0,"Top"
797,84600,1,0,"Middle"
798,95600,0,0,"Top"
799,104000,1,0,"Top"
800,50600,1,0,"Top"
801,87800,1,0,"Top"
802,53600,1,0,"Middle"
803,109600,0,1,"Top"
804,99600,0,1,"Bottom"
805,95600,1,0,"Top"
806,97800,0,1,"Middle"
807,83400,1,0,"Top"
808,59300,1,0,"Top"
809,96000,0,0,"Middle"
810,87800,1,1,"Top"
811,51100,0,0,"Middle"
812,101200,1,0,"Bottom"
813,102600,0,0,"Middle"
814,109200,1,0,"Top"
815,53300,0,0,"Bottom"
816,55900,0,0,"Top"
817,52200,1,0,"Top"
818,87800,1,0,"Middle"
819,112000,1,1,"Middle"
820,106800,1,0,"Top"
821,54700,1,0,"Top"
822,48700,0,0,"Top"
823,56000,0,0,"Top"
824,57500,0,0,"Middle"
825,54500,1,0,"Middle"
826,101600,1,1,"Top"
827,106000,1,0,"Middle"
828,44400,1,0,"Top"
829,53500,0,0,"Middle"
830,47800,1,0,"Top"
831,101800,0,1,"Top"
832,89200,0,0,"Top"
833,89400,1,0,"Bottom"
834,44300,1,0,"Bottom"
835,85000,1,0,"Top"
836,51500,1,0,"Middle"
837,81400,1,0,"Top"
838,52000,1,0,"Top"
839,47000,0,0,"Middle"
840,93800,0,0,"Top"
841,120400,0,1,"Middle"
842,114600,1,0,"Middle"
843,103200,1,0,"Middle"
844,98400,0,1,"Top"
845,48800,0,0,"Bottom"
846,42300,1,0,"Bottom"
847,44100,1,0,"Top"
848,50600,1,0,"Top"
849,112800,1,0,"Top"
850,45700,1,0,"Top"
851,103400,0,0,"Bottom"
852,57400,1,0,"Middle"
853,64100,0,0,"Top"
854,50000,0,0,"Middle"
855,58600,0,0,"Bottom"
856,49200,1,0,"Middle"
857,115600,1,0,"Top"
858,97800,1,1,"Top"
859,55600,1,0,"Bottom"
860,116000,0,1,"Bottom"
861,102800,0,0,"Middle"
862,86400,1,0,"Top"
863,119000,0,1,"Top"
864,106400,1,1,"Top"
865,90000,0,0,"Middle"
866,108600,1,0,"Top"
867,93600,1,1,"Top"
868,96000,1,0,"Top"
869,105800,1,1,"Middle"
870,41800,1,0,"Top"
871,100200,1,1,"Top"
872,85600,1,0,"Top"
873,91600,1,0,"Bottom"
874,100000,0,1,"Bottom"
875,103200,1,0,"Bottom"
876,52200,1,0,"Middle"
877,119400,0,0,"Top"
878,54500,1,0,"Middle"
879,52000,1,0,"Middle"
880,105600,0,0,"Bottom"
881,47900,1,0,"Top"
882,112800,0,0,"Top"
883,101200,1,0,"Middle"
884,89400,0,0,"Bottom"
885,109200,0,1,"Top"
886,46900,0,0,"Middle"
887,119600,1,0,"Middle"
888,41300,1,0,"Middle"
889,42900,1,0,"Top"
890,95000,1,0,"Bottom"
891,110400,1,1,"Top"
892,91400,1,0,"Top"
893,92400,1,0,"Bottom"
894,50200,0,0,"Top"
895,46100,1,0,"Bottom"
896,50200,1,0,"Middle"
897,101800,0,0,"Middle"
898,77000,0,1,"Top"
899,46900,0,0,"Top"
900,101200,0,0,"Top"
901,104800,1,0,"Middle"
902,87600,0,0,"Bottom"
903,49700,1,0,"Top"
904,94400,0,1,"Top"
905,97400,1,0,"Bottom"
906,51500,1,0,"Middle"
907,117200,0,0,"Top"
908,83200,0,0,"Top"
909,98400,1,0,"Middle"
910,85400,1,0,"Middle"
911,55900,1,0,"Bottom"
912,95400,1,1,"Bottom"
913,49300,1,0,"Top"
914,97200,0,0,"Top"
915,61100,0,0,"Top"
916,87800,0,0,"Top"
917,89000,0,1,"Middle"
918,98600,0,0,"Top"
919,100600,1,1,"Top"
920,103600,0,0,"Middle"
921,56100,1,0,"Top"
922,88600,0,0,"Top"
923,94200,1,0,"Top"
924,59000,0,0,"Top"
925,102800,0,0,"Top"
926,46600,0,0,"Top"
927,55500,1,0,"Middle"
928,49900,0,0,"Middle"
929,63400,0,0,"Middle"
930,49400,0,0,"Middle"
931,90000,1,0,"Top"
932,89600,1,0,"Bottom"
933,90800,1,0,"Top"
934,100400,0,0,"Middle"
935,102200,0,1,"Top"
936,43300,0,0,"Top"
937,108200,1,0,"Top"
938,104600,0,1,"Bottom"
939,93200,1,0,"Top"
940,105200,1,0,"Top"
941,48800,1,0,"Top"
942,52800,0,0,"Top"
943,56100,0,0,"Bottom"
944,106000,1,0,"Bottom"
945,90200,0,0,"Top"
946,43600,1,0,"Top"
947,99600,1,0,"Top"
948,93800,1,0,"Middle"
949,105600,1,0,"Top"
950,91800,0,0,"Top"
951,96800,0,1,"Middle"
952,99400,1,0,"Top"
953,47900,0,0,"Top"
954,49400,0,0,"Bottom"
955,52800,1,0,"Middle"
956,48800,1,0,"Middle"
957,112200,0,0,"Bottom"
